COMPANY,PRICE,PRICE CHANGE,DATETIME
NIO Inc. (NIO),11.49,-0.34,2023-08-16 12:44:55.397853
"AMC Entertainment Holdings, Inc. (AMC)",3.6200,-0.0600,2023-08-16 12:44:56.642337
Kenvue Inc. (KVUE),23.11,-0.15,2023-08-16 12:44:57.864674
Nu Holdings Ltd. (NU),7.76,-0.15,2023-08-16 12:44:59.250292
"Advanced Micro Devices, Inc. (AMD)",107.68,-3.67,2023-08-16 12:45:01.507966
DLocal Limited (DLO),21.91,+6.41,2023-08-16 12:45:02.829076
NVIDIA Corporation (NVDA),437.43,-1.97,2023-08-16 12:45:04.479762
Apple Inc. (AAPL),177.80,+0.35,2023-08-16 12:45:05.752300
Johnson & Johnson (JNJ),173.59,+0.65,2023-08-16 12:45:06.957180
Coherent Corp. (COHR),29.83,-17.18,2023-08-16 12:45:08.123750
Bank of America Corporation (BAC),29.53,-0.41,2023-08-16 12:45:09.440011
"Amazon.com, Inc. (AMZN)",135.90,-1.77,2023-08-16 12:45:10.777583
Palantir Technologies Inc. (PLTR),15.39,+0.02,2023-08-16 12:45:12.115084
"AMC Entertainment Holdings, Inc. (APE)",2.1299,+0.0199,2023-08-16 12:45:13.359269
Sea Limited (SE),40.74,+0.16,2023-08-16 12:45:14.590028
Target Corporation (TGT),129.34,+4.29,2023-08-16 12:45:15.870900
Alibaba Group Holding Limited (BABA),89.85,-1.74,2023-08-16 12:45:17.727296
Ford Motor Company (F),11.90,-0.08,2023-08-16 12:45:18.988503
"Rivian Automotive, Inc. (RIVN)",20.86,+0.08,2023-08-16 12:45:20.414137
"JD.com, Inc. (JD)",35.25,-0.72,2023-08-16 12:45:21.990951
"Marathon Digital Holdings, Inc. (MARA)",13.44,-0.49,2023-08-16 12:45:23.231325
Energy Transfer LP (ET),12.85,+0.29,2023-08-16 12:45:24.415827
"Lucid Group, Inc. (LCID)",6.30,-0.11,2023-08-16 12:45:25.613588
Banco Bradesco S.A. (BBD),3.0750,+0.0250,2023-08-16 12:45:26.886594
"Tesla, Inc. (TSLA)",227.95,-5.01,2023-08-16 13:00:28.441611
NIO Inc. (NIO),11.52,-0.31,2023-08-16 13:00:29.749763
"AMC Entertainment Holdings, Inc. (AMC)",3.6400,-0.0400,2023-08-16 13:00:31.078613
Kenvue Inc. (KVUE),23.06,-0.20,2023-08-16 13:00:32.456119
Nu Holdings Ltd. (NU),7.78,-0.13,2023-08-16 13:00:33.764879
"Advanced Micro Devices, Inc. (AMD)",107.47,-3.88,2023-08-16 13:00:35.036808
DLocal Limited (DLO),21.42,+5.92,2023-08-16 13:00:36.316547
NVIDIA Corporation (NVDA),436.86,-2.54,2023-08-16 13:00:37.577071
Apple Inc. (AAPL),177.65,+0.21,2023-08-16 13:00:38.980203
Johnson & Johnson (JNJ),173.35,+0.41,2023-08-16 13:00:40.178739
Coherent Corp. (COHR),30.43,-16.58,2023-08-16 13:00:41.412496
Bank of America Corporation (BAC),29.50,-0.44,2023-08-16 13:00:42.802978
"Amazon.com, Inc. (AMZN)",135.67,-2.00,2023-08-16 13:00:44.049817
Palantir Technologies Inc. (PLTR),15.40,+0.03,2023-08-16 13:00:45.315413
"AMC Entertainment Holdings, Inc. (APE)",2.1301,+0.0201,2023-08-16 13:00:46.455919
Sea Limited (SE),40.71,+0.13,2023-08-16 13:00:47.660983
Target Corporation (TGT),129.95,+4.90,2023-08-16 13:00:48.955877
Alibaba Group Holding Limited (BABA),89.71,-1.88,2023-08-16 13:00:50.638253
Ford Motor Company (F),11.92,-0.06,2023-08-16 13:00:52.020304
"Rivian Automotive, Inc. (RIVN)",21.09,+0.31,2023-08-16 13:00:53.285686
"JD.com, Inc. (JD)",35.17,-0.80,2023-08-16 13:00:54.393147
"Marathon Digital Holdings, Inc. (MARA)",13.55,-0.38,2023-08-16 13:00:55.708647
Energy Transfer LP (ET),12.84,+0.28,2023-08-16 13:00:57.118517
"Lucid Group, Inc. (LCID)",6.35,-0.06,2023-08-16 13:00:58.360914
Banco Bradesco S.A. (BBD),3.0650,+0.0150,2023-08-16 13:01:00.047849
"Tesla, Inc. (TSLA)",227.95,-5.01,2023-08-16 13:16:01.468000
NIO Inc. (NIO),11.49,-0.34,2023-08-16 13:16:02.664606
"AMC Entertainment Holdings, Inc. (AMC)",3.6163,-0.0637,2023-08-16 13:16:04.407773
Kenvue Inc. (KVUE),23.00,-0.26,2023-08-16 13:16:05.695701
Nu Holdings Ltd. (NU),7.72,-0.19,2023-08-16 13:16:07.136392
"Advanced Micro Devices, Inc. (AMD)",107.39,-3.96,2023-08-16 13:16:08.394503
DLocal Limited (DLO),21.04,+5.54,2023-08-16 13:16:09.737954
NVIDIA Corporation (NVDA),437.28,-2.12,2023-08-16 13:16:10.975240
Apple Inc. (AAPL),177.65,+0.20,2023-08-16 13:16:12.403197
Johnson & Johnson (JNJ),172.64,-0.30,2023-08-16 13:16:13.864427
Coherent Corp. (COHR),30.54,-16.47,2023-08-16 13:16:15.090738
Bank of America Corporation (BAC),29.41,-0.53,2023-08-16 13:16:16.293279
"Amazon.com, Inc. (AMZN)",135.57,-2.10,2023-08-16 13:16:17.728706
Palantir Technologies Inc. (PLTR),15.44,+0.07,2023-08-16 13:16:18.960353
"AMC Entertainment Holdings, Inc. (APE)",2.1200,+0.0100,2023-08-16 13:16:20.194197
Sea Limited (SE),40.60,+0.02,2023-08-16 13:16:21.508043
Target Corporation (TGT),129.23,+4.18,2023-08-16 13:16:22.723813
Alibaba Group Holding Limited (BABA),89.80,-1.79,2023-08-16 13:16:24.021701
Ford Motor Company (F),11.88,-0.10,2023-08-16 13:16:25.270858
"Rivian Automotive, Inc. (RIVN)",20.90,+0.12,2023-08-16 13:16:26.546378
"JD.com, Inc. (JD)",35.17,-0.80,2023-08-16 13:16:27.877095
"Marathon Digital Holdings, Inc. (MARA)",13.62,-0.31,2023-08-16 13:16:29.135536
Energy Transfer LP (ET),12.78,+0.22,2023-08-16 13:16:30.385697
"Lucid Group, Inc. (LCID)",6.32,-0.09,2023-08-16 13:16:31.656052
Banco Bradesco S.A. (BBD),3.0650,+0.0150,2023-08-16 13:16:33.077417
"Tesla, Inc. (TSLA)",228.49,-4.48,2023-08-16 13:31:34.689455
NIO Inc. (NIO),11.49,-0.34,2023-08-16 13:31:36.186413
"AMC Entertainment Holdings, Inc. (AMC)",3.6300,-0.0500,2023-08-16 13:31:37.505688
Kenvue Inc. (KVUE),23.06,-0.20,2023-08-16 13:31:38.932718
Nu Holdings Ltd. (NU),7.76,-0.15,2023-08-16 13:31:40.247652
"Advanced Micro Devices, Inc. (AMD)",107.56,-3.79,2023-08-16 13:31:41.602333
DLocal Limited (DLO),20.79,+5.29,2023-08-16 13:31:42.839557
NVIDIA Corporation (NVDA),437.78,-1.62,2023-08-16 13:31:44.263650
Apple Inc. (AAPL),177.71,+0.26,2023-08-16 13:31:45.536879
Johnson & Johnson (JNJ),172.75,-0.19,2023-08-16 13:31:46.767731
Coherent Corp. (COHR),31.07,-15.94,2023-08-16 13:31:48.008133
Bank of America Corporation (BAC),29.41,-0.53,2023-08-16 13:31:49.378622
"Amazon.com, Inc. (AMZN)",135.87,-1.80,2023-08-16 13:31:50.797691
Palantir Technologies Inc. (PLTR),15.53,+0.16,2023-08-16 13:31:52.160239
"AMC Entertainment Holdings, Inc. (APE)",2.1199,+0.0099,2023-08-16 13:31:53.492167
Sea Limited (SE),40.56,-0.02,2023-08-16 13:31:54.930771
Target Corporation (TGT),129.02,+3.97,2023-08-16 13:31:56.139425
Alibaba Group Holding Limited (BABA),89.69,-1.90,2023-08-16 13:31:57.710965
Ford Motor Company (F),11.87,-0.11,2023-08-16 13:31:58.964795
"Rivian Automotive, Inc. (RIVN)",21.01,+0.23,2023-08-16 13:32:00.438506
"JD.com, Inc. (JD)",34.96,-1.01,2023-08-16 13:32:02.285190
"Marathon Digital Holdings, Inc. (MARA)",13.73,-0.20,2023-08-16 13:32:03.723310
Energy Transfer LP (ET),12.80,+0.23,2023-08-16 13:32:05.434688
